Post Date,Post Subtype,Post Type,Number Of Comments,Number Of Likes,Number Of Posts
2/19/2023,Streak,Visual,0,5,20
2/19/2023,Collection,Visual,0,0,38
2/19/2023,Course Certificate,Visual,0,25,64
2/19/2023,Career Track Certificate,Visual,1,2,2
2/20/2023,Text Post,Text Post,1,2,2
2/20/2023,Level,Visual,0,6,124
2/20/2023,Goal,Visual,0,1,7
2/20/2023,Streak,Visual,0,4,18
2/20/2023,Collection,Visual,0,0,40
2/20/2023,Course Certificate,Visual,0,5,49
2/20/2023,Career Track Certificate,Visual,0,0,1
2/21/2023,Text Post,Text Post,2,2,2
2/21/2023,Level,Visual,1,4,152
2/21/2023,Streak,Visual,1,5,27
2/21/2023,Collection,Visual,0,0,52
2/21/2023,Course Certificate,Visual,0,5,55
2/21/2023,Career Track Certificate,Visual,1,1,2
2/22/2023,Text Post,Text Post,1,1,1
2/22/2023,Level,Visual,0,2,132
2/22/2023,Streak,Visual,0,3,22
2/22/2023,Collection,Visual,0,3,48
2/22/2023,Course Certificate,Visual,0,7,55
2/22/2023,Career Track Certificate,Visual,0,0,1
2/23/2023,Text Post,Text Post,3,3,3
2/23/2023,Level,Visual,0,0,150
2/23/2023,Streak,Visual,0,0,25
2/23/2023,Collection,Visual,0,2,39
2/23/2023,Course Certificate,Visual,0,9,55
2/23/2023,Career Track Certificate,Visual,0,0,1
2/24/2023,Text Post,Text Post,1,0,1
2/24/2023,Level,Visual,0,2,157
2/24/2023,Streak,Visual,0,4,27
2/24/2023,Collection,Visual,0,1,38
2/24/2023,Course Certificate,Visual,1,13,46
2/24/2023,Career Track Certificate,Visual,0,1,1
2/25/2023,Level,Visual,0,2,149
2/25/2023,Goal,Visual,0,4,8
2/25/2023,Streak,Visual,0,5,22
2/25/2023,Collection,Visual,0,1,36
2/25/2023,Course Certificate,Visual,0,15,48
2/26/2023,Level,Visual,0,3,122
2/26/2023,Goal,Visual,0,30,57
2/26/2023,Streak,Visual,0,7,25
2/26/2023,Collection,Visual,0,0,36
2/26/2023,Course Certificate,Visual,2,16,47
2/27/2023,Level,Visual,0,5,118
2/27/2023,Goal,Visual,0,0,1
2/27/2023,Streak,Visual,0,5,30
2/27/2023,Collection,Visual,0,2,38
2/27/2023,Course Certificate,Visual,0,11,51
2/27/2023,Career Track Certificate,Visual,0,1,1
2/28/2023,Level,Visual,0,2,112
2/28/2023,Streak,Visual,1,7,19
2/28/2023,Collection,Visual,0,1,32
2/28/2023,Course Certificate,Visual,0,6,59
3/1/2023,Text Post,Text Post,1,2,2
3/1/2023,Level,Visual,0,1,234
3/1/2023,Streak,Visual,0,7,22
3/1/2023,Collection,Visual,0,2,141
3/1/2023,Course Certificate,Visual,0,5,58
3/1/2023,Career Track Certificate,Visual,0,0,1
3/2/2023,Level,Visual,0,2,461
3/2/2023,Streak,Visual,0,2,27
3/2/2023,Collection,Visual,0,0,280
3/2/2023,Course Certificate,Visual,0,8,106
3/2/2023,Career Track Certificate,Visual,0,0,1
3/3/2023,Text Post,Text Post,1,1,1
3/3/2023,Level,Visual,0,4,376
3/3/2023,Streak,Visual,0,2,18
3/3/2023,Collection,Visual,0,2,238
3/3/2023,Course Certificate,Visual,0,6,113
3/4/2023,Level,Visual,0,3,397
3/4/2023,Goal,Visual,0,4,7
3/4/2023,Streak,Visual,0,4,24
3/4/2023,Collection,Visual,0,1,221
3/4/2023,Course Certificate,Visual,0,6,107
3/5/2023,Level,Visual,1,12,374
3/5/2023,Goal,Visual,1,29,64
3/5/2023,Streak,Visual,0,3,20
3/5/2023,Collection,Visual,0,2,197
3/5/2023,Course Certificate,Visual,0,15,144
3/5/2023,Career Track Certificate,Visual,0,1,2
3/6/2023,Text Post,Text Post,0,1,1
3/6/2023,Level,Visual,0,9,354
3/6/2023,Goal,Visual,0,2,5
3/6/2023,Streak,Visual,0,3,33
3/6/2023,Collection,Visual,0,1,215
3/6/2023,Course Certificate,Visual,0,24,137
3/6/2023,Career Track Certificate,Visual,1,4,4
3/7/2023,Text Post,Text Post,2,3,3
3/7/2023,Level,Visual,0,7,366
3/7/2023,Streak,Visual,0,2,36
3/7/2023,Collection,Visual,0,5,207
3/7/2023,Course Certificate,Visual,0,11,134
3/8/2023,Level,Visual,0,2,419
3/8/2023,Streak,Visual,0,4,30
3/8/2023,Collection,Visual,0,5,208
3/8/2023,Course Certificate,Visual,0,19,175
3/9/2023,Level,Visual,0,7,338
3/9/2023,Streak,Visual,0,4,31
3/9/2023,Collection,Visual,0,0,149
3/9/2023,Course Certificate,Visual,0,19,166
3/9/2023,Career Track Certificate,Visual,0,0,3
3/10/2023,Level,Visual,0,2,300
3/10/2023,Streak,Visual,0,4,41
3/10/2023,Collection,Visual,0,1,132
3/10/2023,Course Certificate,Visual,0,5,139
3/10/2023,Career Track Certificate,Visual,0,0,2
3/11/2023,Text Post,Text Post,1,1,1
3/11/2023,Level,Visual,0,1,297
3/11/2023,Goal,Visual,0,1,4
3/11/2023,Streak,Visual,0,6,39
3/11/2023,Collection,Visual,0,1,135
3/11/2023,Course Certificate,Visual,0,10,155
3/11/2023,Career Track Certificate,Visual,0,0,1
3/12/2023,Text Post,Text Post,0,0,1
3/12/2023,Level,Visual,0,2,298
3/12/2023,Goal,Visual,0,17,64
3/12/2023,Streak,Visual,0,0,36
3/12/2023,Collection,Visual,0,0,131
3/12/2023,Course Certificate,Visual,0,4,177
3/12/2023,Career Track Certificate,Visual,1,1,1
3/13/2023,Level,Visual,0,2,355
3/13/2023,Goal,Visual,0,1,6
3/13/2023,Streak,Visual,0,0,40
3/13/2023,Collection,Visual,0,0,151
3/13/2023,Course Certificate,Visual,0,3,198
3/14/2023,Level,Visual,0,1,375
3/14/2023,Streak,Visual,0,1,32
3/14/2023,Collection,Visual,0,0,151
3/14/2023,Course Certificate,Visual,0,6,202
3/14/2023,Career Track Certificate,Visual,0,0,1
3/15/2023,Level,Visual,0,3,372
3/15/2023,Streak,Visual,0,3,24
3/15/2023,Collection,Visual,0,1,167
3/15/2023,Course Certificate,Visual,1,28,241
3/16/2023,Level,Visual,0,1,365
3/16/2023,Streak,Visual,0,0,31
3/16/2023,Collection,Visual,0,0,153
3/16/2023,Course Certificate,Visual,0,5,187
3/17/2023,Text Post,Text Post,2,1,2
3/17/2023,Level,Visual,0,4,287
3/17/2023,Streak,Visual,0,3,41
3/17/2023,Collection,Visual,0,3,116
3/17/2023,Course Certificate,Visual,1,46,269
3/17/2023,Career Track Certificate,Visual,2,3,4
3/18/2023,Text Post,Text Post,3,3,3
3/18/2023,Level,Visual,0,2,300
3/18/2023,Goal,Visual,0,3,7
3/18/2023,Streak,Visual,0,0,37
3/18/2023,Collection,Visual,0,2,102
3/18/2023,Course Certificate,Visual,0,8,212
3/19/2023,Level,Visual,0,3,327
3/19/2023,Goal,Visual,0,34,76
3/19/2023,Streak,Visual,0,4,33
3/19/2023,Collection,Visual,0,1,129
3/19/2023,Course Certificate,Visual,0,5,296
3/19/2023,Career Track Certificate,Visual,0,0,3
3/20/2023,Text Post,Text Post,1,1,1
3/20/2023,Level,Visual,0,3,397
3/20/2023,Goal,Visual,0,1,4
3/20/2023,Streak,Visual,0,2,27
3/20/2023,Collection,Visual,0,0,139
3/20/2023,Course Certificate,Visual,0,11,452
3/20/2023,Career Track Certificate,Visual,0,0,1
3/21/2023,Level,Visual,0,2,369
3/21/2023,Streak,Visual,1,2,29
3/21/2023,Collection,Visual,0,3,136
3/21/2023,Course Certificate,Visual,0,10,516
3/21/2023,Career Track Certificate,Visual,0,0,5
3/22/2023,Text Post,Text Post,1,1,1
3/22/2023,Level,Visual,0,1,100
3/22/2023,Streak,Visual,0,2,15
3/22/2023,Collection,Visual,0,1,42
3/22/2023,Course Certificate,Visual,0,8,36
3/22/2023,Career Track Certificate,Visual,0,0,1
3/23/2023,Text Post,Text Post,1,1,1
3/23/2023,Level,Visual,0,0,105
3/23/2023,Streak,Visual,0,6,24
3/23/2023,Collection,Visual,0,0,52
3/23/2023,Course Certificate,Visual,0,5,41
3/23/2023,Career Track Certificate,Visual,0,0,1
3/24/2023,Text Post,Text Post,0,1,1
